missing module named unicodedata.ucd_3_2_0 - imported by unicodedata, stringprep, encodings.idna
missing module named _sre.MAXREPEAT - imported by _sre, sre_constants
missing module named glib.OPTION_FLAG_REVERSE - imported by glib, gobject
missing module named glib.PRIORITY_LOW - imported by glib, gobject
missing module named glib.SPAWN_FILE_AND_ARGV_ZERO - imported by glib, gobject
missing module named glib.PRIORITY_HIGH_IDLE - imported by glib, gobject
missing module named glib.OPTION_FLAG_FILENAME - imported by glib, gobject
missing module named glib.IO_STATUS_AGAIN - imported by glib, gobject
missing module named glib.OPTION_FLAG_HIDDEN - imported by glib, gobject
missing module named glib.IO_FLAG_GET_MASK - imported by glib, gobject
missing module named glib.IO_STATUS_EOF - imported by glib, gobject
missing module named glib.SPAWN_CHILD_INHERITS_STDIN - imported by glib, gobject
missing module named glib.IO_OUT - imported by glib, gobject
missing module named glib.IO_FLAG_IS_SEEKABLE - imported by glib, gobject
missing module named glib.IO_STATUS_ERROR - imported by glib, gobject
missing module named glib.IO_FLAG_MASK - imported by glib, gobject
missing module named glib.PRIORITY_DEFAULT - imported by glib, gobject
missing module named glib.IO_ERR - imported by glib, gobject
missing module named glib.IO_STATUS_NORMAL - imported by glib, gobject
missing module named glib.OPTION_ERROR_FAILED - imported by glib, gobject
missing module named glib.OPTION_ERROR_UNKNOWN_OPTION - imported by glib, gobject
missing module named glib.OPTION_ERROR - imported by glib, gobject
missing module named glib.IO_FLAG_NONBLOCK - imported by glib, gobject
missing module named glib.IO_IN - imported by glib, gobject
missing module named glib.PRIORITY_HIGH - imported by glib, gobject
missing module named glib.PollFD - imported by glib, gobject
missing module named glib.set_prgname - imported by glib, gobject
missing module named glib.get_application_name - imported by glib, gobject
missing module named glib.get_prgname - imported by glib, gobject
missing module named glib.Pid - imported by glib, gobject
missing module named glib.MainContext - imported by glib, gobject
missing module named glib.filename_from_utf8 - imported by glib, gobject
missing module named glib.child_watch_add - imported by glib, gobject
missing module named glib.main_depth - imported by glib, gobject
missing module named glib.io_add_watch - imported by glib, gobject
missing module named glib.OptionGroup - imported by glib, gobject
missing module named glib.OptionContext - imported by glib, gobject
missing module named glib.source_remove - imported by glib, gobject
missing module named glib.Timeout - imported by glib, gobject
missing module named glib.Idle - imported by glib, gobject
missing module named glib.set_application_name - imported by glib, gobject
missing module named glib.filename_display_basename - imported by glib, gobject
missing module named glib.MainLoop - imported by glib, gobject
missing module named glib.get_current_time - imported by glib, gobject
missing module named _functools.partial - imported by _functools, functools
missing module named _functools.reduce - imported by _functools, functools
missing module named operator.attrgetter - imported by operator, inspect
missing module named operator.itemgetter - imported by operator, collections, heapq
missing module named operator.eq - imported by operator, collections
missing module named glib.IOChannel - imported by glib, gobject
missing module named glib.filename_display_name - imported by glib, gobject
missing module named glib.timeout_add - imported by glib, gobject
missing module named glib.glib_version - imported by glib, gobject
missing module named glib.spawn_async - imported by glib, gobject
missing module named glib.idle_add - imported by glib, gobject
missing module named glib.main_context_default - imported by glib, gobject
missing module named glib.markup_escape_text - imported by glib, gobject
missing module named glib.Source - imported by glib, gobject
missing module named glib.GError - imported by glib, gobject
missing module named glib.timeout_add_seconds - imported by glib, gobject
missing module named glib.uri_list_extract_uris - imported by glib, gobject
missing module named thread._local - imported by thread, threading
missing module named thread.stack_size - imported by thread, threading
missing module named thread.get_ident - imported by thread, collections
missing module named thread.allocate_lock - imported by thread, _strptime
missing module named _subprocess.STD_OUTPUT_HANDLE - imported by _subprocess, subprocess
missing module named _subprocess.CREATE_NEW_PROCESS_GROUP - imported by _subprocess, subprocess
missing module named _subprocess.STD_INPUT_HANDLE - imported by _subprocess, subprocess
missing module named _subprocess.STARTF_USESHOWWINDOW - imported by _subprocess, subprocess
missing module named _subprocess.CREATE_NEW_CONSOLE - imported by _subprocess, subprocess
missing module named _subprocess.STD_ERROR_HANDLE - imported by _subprocess, subprocess
missing module named _subprocess.STARTF_USESTDHANDLES - imported by _subprocess, subprocess
missing module named _subprocess.SW_HIDE - imported by _subprocess, subprocess
missing module named collections.namedtuple - imported by collections, inspect, unittest.util, difflib, doctest, ssl
missing module named cPickle.loads - imported by cPickle, collections
missing module named cPickle.dumps - imported by cPickle, collections
missing module named collections.deque - imported by collections, shlex, threading
missing module named collections.OrderedDict - imported by collections, unittest.util
missing module named _collections.deque - imported by _collections, collections
missing module named _collections.defaultdict - imported by _collections, collections
missing module named time.strptime - imported by time, ssl
missing module named time.time - imported by time, threading
missing module named time.sleep - imported by time, threading
missing module named datetime.date - imported by datetime, _strptime
missing module named _hashlib.pbkdf2_hmac - imported by _hashlib, hashlib
missing module named os.urandom - imported by os, random
missing module named math.sin - imported by math, random
missing module named math.sqrt - imported by math, random
missing module named math.cos - imported by math, random
missing module named math.acos - imported by math, random
missing module named math.ceil - imported by math, random
missing module named math.exp - imported by math, random
missing module named math.log - imported by math, random
missing module named math.e - imported by math, random
missing module named math.pi - imported by math, random
missing module named _io.DEFAULT_BUFFER_SIZE - imported by _io, io
missing module named _io.BytesIO - imported by _io, io
missing module named _io.open - imported by _io, io
missing module named _io.BufferedWriter - imported by _io, io
missing module named _io.FileIO - imported by _io, io
missing module named _io.BlockingIOError - imported by _io, io
missing module named _io.IncrementalNewlineDecoder - imported by _io, io
missing module named _io.BufferedReader - imported by _io, io
missing module named _io.BufferedRandom - imported by _io, io
missing module named _io.StringIO - imported by _io, io
missing module named _io.BufferedRWPair - imported by _io, io
missing module named _io.TextIOWrapper - imported by _io, io
missing module named _io.UnsupportedOperation - imported by _io, io
missing module named nt._isdir - imported by nt, ntpath
missing module named nt._getfullpathname - imported by nt, ntpath
missing module named nt._exit - imported by nt, os
missing module named readline - imported by cmd, pdb
missing module named pwd - imported by posixpath
missing module named 'org.python'.PyStringMap - imported by 'org.python', pickle
missing module named 'org.python' - imported by pickle
missing module named fcntl - imported by tempfile, subprocess
missing module named threading.RLock - imported by threading, _threading_local
missing module named threading.current_thread - imported by threading, _threading_local
missing module named _ssl.RAND_egd - imported by _ssl, ssl, socket
missing module named _ssl.SSL_ERROR_EOF - imported by _ssl, socket
missing module named _ssl.SSL_ERROR_WANT_READ - imported by _ssl, socket
missing module named _ssl.SSL_ERROR_WANT_CONNECT - imported by _ssl, socket
missing module named _ssl.SSL_ERROR_ZERO_RETURN - imported by _ssl, socket
missing module named _ssl.SSL_ERROR_WANT_X509_LOOKUP - imported by _ssl, socket
missing module named _ssl.SSL_ERROR_SSL - imported by _ssl, socket
missing module named _ssl.RAND_status - imported by _ssl, ssl, socket
missing module named _ssl.SSL_ERROR_INVALID_ERROR_CODE - imported by _ssl, socket
missing module named _ssl.SSL_ERROR_WANT_WRITE - imported by _ssl, socket
missing module named _ssl.RAND_add - imported by _ssl, ssl, socket
missing module named _ssl.SSL_ERROR_SYSCALL - imported by _ssl, socket
missing module named _ssl.SSLError - imported by _ssl, ssl, socket
missing module named _ssl.enum_crls - imported by _ssl, ssl
missing module named _ssl.enum_certificates - imported by _ssl, ssl
missing module named _ssl._OPENSSL_API_VERSION - imported by _ssl, ssl
missing module named _ssl.HAS_ECDH - imported by _ssl, ssl
missing module named _ssl.HAS_ALPN - imported by _ssl, ssl
missing module named _ssl.HAS_NPN - imported by _ssl, ssl
missing module named _ssl.HAS_SNI - imported by _ssl, ssl
missing module named _ssl.txt2obj - imported by _ssl, ssl
missing module named _ssl.nid2obj - imported by _ssl, ssl
missing module named _ssl.CERT_REQUIRED - imported by _ssl, ssl
missing module named _ssl.CERT_NONE - imported by _ssl, ssl
missing module named _ssl.CERT_OPTIONAL - imported by _ssl, ssl
missing module named _ssl.SSLEOFError - imported by _ssl, ssl
missing module named _ssl.SSLWantReadError - imported by _ssl, ssl
missing module named _ssl.SSLWantWriteError - imported by _ssl, ssl
missing module named _ssl.SSLSyscallError - imported by _ssl, ssl
missing module named _ssl.SSLZeroReturnError - imported by _ssl, ssl
missing module named _ssl._SSLContext - imported by _ssl, ssl
missing module named _ssl.OPENSSL_VERSION_NUMBER - imported by _ssl, ssl
missing module named _ssl.OPENSSL_VERSION_INFO - imported by _ssl, ssl
missing module named _ssl.OPENSSL_VERSION - imported by _ssl, ssl
missing module named socket.SO_TYPE - imported by socket, ssl
missing module named socket.SOL_SOCKET - imported by socket, ssl
missing module named socket.AF_INET - imported by socket, ssl
missing module named socket.create_connection - imported by socket, ssl
missing module named socket.SOCK_STREAM - imported by socket, ssl
missing module named socket.error - imported by socket, ssl
missing module named socket.socket - imported by socket, ssl
missing module named socket._delegate_methods - imported by socket, ssl
missing module named socket._fileobject - imported by socket, ssl
missing module named riscosenviron._Environ - imported by riscosenviron, os
missing module named riscosenviron - imported by os
missing module named riscospath - imported by os
missing module named riscos._exit - imported by riscos, os
missing module named riscos - imported by os
missing module named ce._exit - imported by ce, os
missing module named ce - imported by os
missing module named _emx_link.link - imported by _emx_link, os
missing module named _emx_link - imported by os
missing module named os2._exit - imported by os2, os
missing module named os2 - imported by os
missing module named posix._exit - imported by posix, os
missing module named posix - imported by os
missing module named resource - imported by posix
